1300190 	北京 	北京 	联通
1300290 	陕西 	西安 	联通
1300390 	福建 	厦门 	联通
1300490 	福建 	三明 	联通
1300590 	广西 	南宁 	联通
1300690 	广西 	防城港 	联通
1300790 	宁夏 	石嘴山 	联通
1300890 	浙江 	宁波 	联通
1300990 	黑龙江 	大庆 	联通
1301190 	河北 	保定 	联通
1301290 	山东 	东营 	联通
1301390 	江苏 	宿迁 	联通
1301490 	广西 	南宁 	联通
1301590 	福建 	莆田 	联通
1301690 	江苏 	连云港 	联通
1301790 	浙江 	湖州 	联通
1301890 	浙江 	杭州 	联通
1301990 	辽宁 	辽阳 	联通
1302090 	浙江 	瓯海 	联通
1302190 	北京 	北京 	联通
1302290 	陕西 	西安 	联通
1302390 	福建 	厦门 	联通
1302490 	福建 	三明 	联通
1302590 	广西 	南宁 	联通
1302690 	广西 	防城港 	联通
1302790 	广东 	深圳 	联通
1302890 	浙江 	宁波 	联通
1302990 	黑龙江 	大庆 	联通
1303090 	福建 	宁德 	联通
1303190 	河北 	邢台 	联通
1303290 	陕西 	西安 	联通
1303390 	河南 	周口 	联通
1303490 	海南 	海口 	联通
1303590 	云南 	个旧 	联通
1303690 	广西 	防城港 	联通
1303790 	宁夏 	石嘴山 	联通
1303890 	陕西 	安康 	联通
1303990 	黑龙江 	加格达奇 	联通
1304090 	湖北 	沙市 	联通
1304190 	江苏 	徐州 	联通
1304290 	甘肃 	白银 	联通
1304390 	河南 	卧龙 	联通
1304490 	江西 	南昌 	联通
1304590 	福建 	龙岩 	联通
1304690 	福建 	莆田 	联通
1304790 	江西 	南昌 	联通
1304890 	广东 	深圳 	联通
1304990 	浙江 	金华县 	联通
1305090 	辽宁 	朝阳 	联通
1305190 	北京 	北京 	联通
1305290 	江苏 	镇江 	联通
1305390 	山东 	临沂 	联通
1305490 	山东 	临沂 	联通
1305590 	福建 	福州 	联通
1305690 	浙江 	宁波 	联通
1305790 	浙江 	瓯海 	联通
1305890 	浙江 	湖州 	联通
1305990 	浙江 	湖州 	联通
1306090 	广东 	广州 	联通
1306190 	上海 	上海 	联通
1306290 	江苏 	镇江 	联通
1306390 	江苏 	常州 	联通
1306490 	江苏 	淮安 	联通
1306590 	浙江 	金华县 	联通
1306690 	广东 	深圳 	联通
1306790 	浙江 	杭州 	联通
1306890 	广东 	汕头 	联通
1306990 	黑龙江 	双鸭山 	联通
1307090 	广东 	东莞 	联通
1307190 	浙江 	宁波 	联通
1307290 	陕西 	西安 	联通
1307390 	福建 	宁德 	联通
1307490 	福建 	泉州 	联通
1307590 	福建 	福州 	联通
1307690 	广东 	深圳 	联通
1307790 	江西 	南昌 	联通
1307890 	海南 	海口 	联通
1307990 	新疆 	乌鲁木齐 	联通
1308090 	陕西 	西安 	联通
1308190 	浙江 	宁波 	联通
1308290 	浙江 	宁波 	联通
1308390 	浙江 	湖州 	联通
1308490 	广西 	百色 	联通
1308590 	甘肃 	白银 	联通
1308690 	贵州 	安顺 	联通
1308790 	广西 	南宁 	联通
1308890 	陕西 	宝鸡 	联通
1308990 	黑龙江 	加格达奇 	联通
1309190 	浙江 	瓯海 	联通
1309290 	陕西 	宝鸡 	联通
1309390 	陕西 	汉中 	联通
1309490 	江苏 	淮安 	联通
1309590 	浙江 	宁波 	联通
1309690 	陕西 	西安 	联通
1309790 	广西 	防城港 	联通
1309890 	海南 	海口 	联通
1309990 	云南 	昆明 	联通
1310090 	黑龙江 	哈尔滨 	联通
1310190 	江苏 	淮安 	联通
1310290 	河北 	保定 	联通
1310390 	河南 	商丘 	联通
1310490 	广东 	湛江 	联通
1310590 	福建 	龙岩 	联通
1310690 	广东 	肇庆 	联通
1310790 	福建 	三明 	联通
1310890 	重庆 	重庆 	联通
1310990 	新疆 	乌鲁木齐 	联通
1311090 	福建 	南平 	联通
1311190 	海南 	海口 	联通
1311290 	广东 	中山 	联通
1311390 	广东 	中山 	联通
1311490 	天津 	天津 	联通
1311590 	福建 	福州 	联通
1311690 	云南 	中甸 	联通
1311790 	江西 	新余 	联通
1311990 	新疆 	布克赛尔 	联通
1312090 	上海 	上海 	联通
1312190 	北京 	北京 	联通
1312290 	上海 	上海 	联通
1312390 	浙江 	杭州 	联通
1312490 	广东 	湛江 	联通
1312590 	黑龙江 	哈尔滨 	联通
1312690 	北京 	北京 	联通
1312790 	上海 	上海 	联通
1312890 	广东 	深圳 	联通
1312990 	湖北 	武汉 	联通
1313090 	辽宁 	盘锦 	联通
1313190 	河北 	邢台 	联通
1313290 	广西 	南宁 	联通
1313390 	江西 	新余 	联通
1313490 	内蒙古 	海拉尔 	联通
1313590 	湖北 	黄冈 	联通
1313690 	黑龙江 	鹤岗 	联通
1313790 	河南 	洛阳 	联通
1313890 	海南 	海口 	联通
1313990 	新疆 	布克赛尔 	联通
1314090 	江苏 	苏州 	联通
1314190 	江苏 	盐城 	联通
1314290 	江苏 	南通 	联通
1314390 	广东 	深圳 	联通
1314490 	广东 	东莞 	联通
1314590 	广东 	深圳 	联通
1314690 	北京 	北京 	联通
1314790 	辽宁 	锦州 	联通
1314890 	广东 	广州 	联通
1314990 	广东 	深圳 	联通
1315090 	内蒙古 	海拉尔 	联通
1315190 	江苏 	无锡 	联通
1315290 	山西 	忻州 	联通
1315390 	山东 	临沂 	联通
1315490 	四川 	攀枝花 	联通
1315590 	江西 	上饶 	联通
1315690 	山东 	烟台 	联通
1315790 	浙江 	金华县 	联通
1315890 	海南 	海口 	联通
1315990 	黑龙江 	双鸭山 	联通
1316090 	广东 	佛山 	联通
1316190 	北京 	北京 	联通
1316290 	上海 	上海 	联通
1316390 	福建 	厦门 	联通
1316490 	浙江 	瓯海 	联通
1316590 	浙江 	宁波 	联通
1316690 	吉林 	吉林 	联通
1316790 	重庆 	重庆 	联通
1316890 	广东 	东莞 	联通
1316990 	广东 	深圳 	联通
1317090 	江西 	新余 	联通
1317190 	河北 	保定 	联通
1317290 	广东 	清远 	联通
1317390 	浙江 	绍兴 	联通
1317490 	浙江 	金华县 	联通
1317590 	浙江 	宁波 	联通
1317690 	山东 	烟台 	联通
1317790 	江西 	新余 	联通
1317890 	海南 	海口 	联通
